n_neurons_l0,activation_l0,alpha_l0,dropout_l0,n_layers,n_neurons_l1,activation_l1,dropout_l1,n_neurons_l2,activation_l2,dropout_l2,lr,optimizer,batch_size,value,n_params,trial_number,alpha_l1,alpha_l2,n_neurons_l3,activation_l3,dropout_l3,n_neurons_l4,activation_l4,dropout_l4,alpha_l3,n_neurons_l5,activation_l5,alpha_l5,dropout_l5,n_neurons_l6,activation_l6,dropout_l6,n_neurons_l7,activation_l7,dropout_l7,alpha_l4,alpha_l6,alpha_l7
256,selu,,0.499,4,376,tanh,0.017,627,swish,0.47700000000000004,0.0019000000000000002,Adam,165,0.9993551969528198,,59,,,373.0,swish,0.405,,,,,,,,,,,,,,,,,
221,relu,,0.36,5,885,elu,0.486,476,swish,0.20800000000000002,0.0083,RMSprop,125,0.999015212059021,,60,,,52.0,leaky_relu,0.305,747.0,leaky_relu,0.28600000000000003,0.12,,,,,,,,,,,0.05,,
173,tanh,,0.421,7,695,tanh,0.106,554,tanh,0.315,0.0008,Adam,264,0.9990972876548767,,61,,,1003.0,tanh,0.199,635.0,relu,0.424,,555.0,selu,,0.33,447.0,leaky_relu,0.166,,,,,0.21000000000000002,
207,leaky_relu,0.3,0.195,6,596,relu,0.196,957,leaky_relu,0.28200000000000003,0.0001,RMSprop,448,0.9993551969528198,,62,,0.15000000000000002,793.0,elu,0.35000000000000003,873.0,leaky_relu,0.2,,776.0,leaky_relu,0.09999999999999999,0.44,,,,,,,0.14,,
233,tanh,,0.277,6,634,relu,0.085,515,elu,0.459,0.0012000000000000001,RMSprop,420,0.9992262125015259,,63,,,486.0,leaky_relu,0.212,691.0,leaky_relu,0.39,0.22,130.0,swish,,0.369,,,,,,,0.05,,
38,tanh,,0.449,3,440,selu,0.331,730,elu,0.187,0.0054,Adam,505,0.999026894569397,,64,,,,,,,,,,,,,,,,,,,,,,
231,tanh,,0.233,6,515,relu,0.07,427,elu,0.486,0.0009000000000000001,RMSprop,373,0.999542772769928,,65,,,545.0,leaky_relu,0.256,517.0,leaky_relu,0.391,0.2,30.0,swish,,0.41300000000000003,,,,,,,0.06999999999999999,,
244,tanh,,0.227,6,441,relu,0.059000000000000004,401,elu,0.428,0.0005,RMSprop,370,0.9993786215782166,,66,,,701.0,leaky_relu,0.177,516.0,leaky_relu,0.335,0.19,19.0,tanh,,0.495,,,,,,,0.060000000000000005,,
189,tanh,,0.164,5,511,relu,0.14400000000000002,438,elu,0.482,0.0023,RMSprop,475,0.9992144703865051,,67,,,563.0,leaky_relu,0.268,261.0,tanh,0.271,0.27,,,,,,,,,,,,,
227,selu,,0.464,6,583,tanh,0.024,271,selu,0.5,0.0008,RMSprop,351,0.9990620613098145,,68,,,741.0,tanh,0.388,973.0,leaky_relu,0.046,,209.0,elu,,0.468,,,,,,,0.03,,
211,elu,,0.217,7,405,tanh,0.397,623,elu,0.161,0.0014000000000000002,RMSprop,305,0.9986517429351807,,69,,,637.0,selu,0.29,438.0,relu,0.448,,254.0,swish,,0.433,688.0,selu,0.068,,,,,,
236,selu,,0.387,4,338,swish,0.107,191,relu,0.401,0.0018000000000000002,Adam,420,0.9990738034248352,,70,,,520.0,relu,0.1,,,,,,,,,,,,,,,,,
107,elu,,0.245,3,264,elu,0.41500000000000004,810,tanh,0.04,0.0033,Adam,281,0.9250437728171215,,71,,,,,,,,,,,,,,,,,,,,,,
248,swish,,0.266,6,768,elu,0.352,473,swish,0.245,0.0001,RMSprop,86,0.9991207122802734,,72,,,293.0,tanh,0.254,818.0,leaky_relu,0.08600000000000001,,341.0,swish,,0.40800000000000003,,,,,,,0.12,,
141,leaky_relu,0.16,0.139,3,520,tanh,0.444,555,swish,0.499,0.0012000000000000001,RMSprop,217,0.9994841814041138,,73,,,,,,,,,,,,,,,,,,,,,,
221,tanh,,0.17500000000000002,5,821,selu,0.24,818,elu,0.362,0.004600000000000001,Adam,186,0.9518958330154419,,74,,,345.0,leaky_relu,0.325,148.0,swish,0.025,0.16,,,,,,,,,,,,,
83,relu,,0.024,3,563,relu,0.012,651,swish,0.312,0.01,Adam,384,0.9985579252243042,,75,,,,,,,,,,,,,,,,,,,,,,
229,tanh,,0.335,6,673,relu,0.065,747,elu,0.441,0.0011,RMSprop,387,0.9993434548377991,,76,,,402.0,leaky_relu,0.231,725.0,leaky_relu,0.4,0.23,85.0,swish,,0.352,,,,,,,0.08,,
233,tanh,,0.295,6,466,relu,0.078,348,elu,0.41000000000000003,0.0004,RMSprop,452,0.9995779395103455,,77,,,458.0,leaky_relu,0.214,663.0,leaky_relu,0.403,0.17,70.0,swish,,0.382,,,,,,,0.06999999999999999,,
256,tanh,,0.321,6,471,relu,0.091,340,elu,0.41400000000000003,0.0004,RMSprop,456,0.9995896816253662,,78,,,573.0,leaky_relu,0.17,640.0,leaky_relu,0.424,0.17,39.0,swish,,0.459,,,,,,,0.060000000000000005,,
180,relu,,0.117,8,594,tanh,0.154,307,elu,0.493,0.0077,Adam,367,0.49917930364608765,,79,,,62.0,leaky_relu,0.493,355.0,swish,0.302,0.11,992.0,relu,,0.449,7.0,relu,0.481,5.0,swish,0.001,,,
250,tanh,,0.259,6,483,relu,0.04,329,elu,0.421,0.0004,RMSprop,512,0.999413788318634,,80,,,545.0,leaky_relu,0.163,556.0,leaky_relu,0.447,0.17,45.0,swish,,0.457,,,,,,,0.04,,
237,tanh,,0.289,6,472,relu,0.09,368,elu,0.398,0.0007000000000000001,RMSprop,472,0.9993082880973816,,81,,,592.0,leaky_relu,0.108,653.0,leaky_relu,0.427,0.11,150.0,swish,,0.47000000000000003,,,,,,,0.06999999999999999,,
158,relu,,0.243,4,888,leaky_relu,0.28400000000000003,564,elu,0.18,0.0044,Adam,395,0.997526228427887,,82,0.01,,10.0,swish,0.28600000000000003,,,,,,,,,,,,,,,,,
251,tanh,,0.248,7,409,relu,0.122,252,elu,0.382,0.0004,RMSprop,447,0.999542772769928,,83,,,493.0,leaky_relu,0.17400000000000002,584.0,elu,0.366,0.14,54.0,swish,,0.041,450.0,elu,0.484,,,,,,
254,tanh,,0.32,7,265,relu,0.009000000000000001,251,elu,0.417,0.0009000000000000001,RMSprop,443,0.9994021058082581,,84,,,484.0,leaky_relu,0.179,587.0,elu,0.352,0.14,66.0,swish,,0.048,458.0,elu,0.49,,,,,,
247,tanh,,0.186,7,418,relu,0.177,295,elu,0.384,0.0035,RMSprop,482,0.9962952136993408,,85,,,515.0,leaky_relu,0.125,506.0,elu,0.377,0.18000000000000002,155.0,swish,,0.422,165.0,elu,0.382,,,,,,
235,tanh,,0.234,8,338,relu,0.045,188,elu,0.379,0.0027,RMSprop,463,0.9992496967315674,,86,,,415.0,leaky_relu,0.077,470.0,elu,0.397,0.14,7.0,swish,,0.396,864.0,elu,0.304,19.0,relu,0.20600000000000002,,,
77,tanh,,0.003,7,437,relu,0.11800000000000001,341,elu,0.37,0.0015,Adam,432,0.9993082880973816,,87,,,676.0,leaky_relu,0.21,566.0,tanh,0.468,0.08,56.0,swish,,0.447,393.0,tanh,0.223,,,,,,
219,tanh,,0.316,6,380,relu,0.094,445,elu,0.466,0.00030000000000000003,RMSprop,491,0.9992027878761292,,88,,,457.0,leaky_relu,0.024,658.0,leaky_relu,0.335,0.19,242.0,swish,,0.315,,,,,,,0.03,,
106,relu,,0.382,7,691,selu,0.113,841,tanh,0.278,0.006300000000000001,RMSprop,286,0.49917930364608765,,89,,,225.0,leaky_relu,0.499,399.0,elu,0.318,0.27,773.0,leaky_relu,0.29000000000000004,0.004,258.0,tanh,0.003,,,,,,
